distance,epochs,learning_rate,train_loss_CV,train_loss_SN
2.2099247,1,0.0001,2.512584,0.75083375
1.1022377,2,0.0001,2.511748,0.73632205
0.7541799,3,0.0001,2.503863,0.7337449
0.68530464,4,0.0001,2.4941769,0.73279196
0.64979774,5,0.0001,2.483631,0.7320729
0.62342405,6,0.0001,2.473301,0.7313431
0.5882945,7,0.0001,2.4628983,0.7305993
0.564783,8,0.0001,2.4524834,0.72988015
0.54424435,9,0.0001,2.4422297,0.72918886
0.5233465,10,0.0001,2.4319751,0.72846204
0.4999801,11,0.0001,2.421868,0.7277792
0.4880902,12,0.0001,2.4117253,0.7270859
0.47284657,13,0.0001,2.401772,0.7264508
0.45574817,14,0.0001,2.391914,0.7258003
0.44153494,15,0.0001,2.3820868,0.7251995
0.42291957,16,0.0001,2.3723423,0.724623
0.4025756,17,0.0001,2.3628151,0.72410023
0.38983604,18,0.0001,2.353302,0.72361594
0.37180334,19,0.0001,2.3439445,0.72315705
0.3551821,20,0.0001,2.334656,0.7227423
0.34244356,21,0.0001,2.3255196,0.72237366
0.3243023,22,0.0001,2.3165023,0.72205126
0.3117269,23,0.0001,2.3075535,0.7217586
0.29604906,24,0.0001,2.29872,0.7215131
0.28513643,25,0.0001,2.2900245,0.7212728
0.2711409,26,0.0001,2.2814236,0.7210824
0.2602918,27,0.0001,2.2728746,0.7209155
0.24621853,28,0.0001,2.2645545,0.72079784
0.23740248,29,0.0001,2.2562554,0.72069013
0.22422779,30,0.0001,2.2480476,0.72059673
0.2151989,31,0.0001,2.2400036,0.7205405
0.20477995,32,0.0001,2.2320385,0.72051173
0.19934034,33,0.0001,2.2241337,0.7204666
0.19073457,34,0.0001,2.2163184,0.7204264
0.18424657,35,0.0001,2.2086854,0.72042966
0.17866279,36,0.0001,2.201048,0.72046363
0.1732349,37,0.0001,2.1935945,0.72049266
0.16732259,38,0.0001,2.1862004,0.7205079
0.15845482,39,0.0001,2.1788318,0.7205327
0.156592,40,0.0001,2.1716187,0.7205766
0.14685737,41,0.0001,2.1644802,0.7206204
0.14200243,42,0.0001,2.157398,0.7206589
0.14062555,43,0.0001,2.1504085,0.72072893
0.13773206,44,0.0001,2.1435294,0.7207855
