distance,epochs,learning_rate,train_loss_CV,train_loss_SN
69.00063,1,0.0001,1.8499821,0.89454484
48.73288,2,0.0001,1.6128614,0.73263603
43.81725,3,0.0001,1.5333124,0.6600904
40.904797,4,0.0001,1.5004436,0.63115185
39.518562,5,0.0001,1.480778,0.61251354
37.68569,6,0.0001,1.4665169,0.59665626
35.937336,7,0.0001,1.4511677,0.5818141
34.959877,8,0.0001,1.4399602,0.57003945
33.881203,9,0.0001,1.4323364,0.56112415
32.300045,10,0.0001,1.4272354,0.5530492
31.287275,11,0.0001,1.4200678,0.545613
30.265205,12,0.0001,1.4091207,0.53298926
29.522972,13,0.0001,1.4020575,0.5243099
28.644602,14,0.0001,1.3997656,0.51935333
28.229708,15,0.0001,1.3952886,0.51282513
27.84234,16,0.0001,1.3910218,0.50952613
27.764334,17,0.0001,1.3891788,0.50266725
27.440485,18,0.0001,1.3867378,0.5004435
27.89176,19,0.0001,1.3864541,0.49752277
27.668959,20,0.0001,1.3873801,0.49900374
27.426565,21,0.0001,1.3863704,0.4977374
27.7806,22,0.0001,1.3838536,0.4936947
27.707233,23,0.0001,1.3834802,0.49295902
28.136845,24,0.0001,1.3821713,0.49294436
27.88867,25,0.0001,1.3819015,0.4915043
27.914171,26,0.0001,1.3814781,0.49269423
27.995424,27,0.0001,1.3849686,0.49205202
27.829702,28,0.0001,1.3837487,0.4937574
27.471914,29,0.0001,1.3872797,0.4973632
27.61083,30,0.0001,1.3870305,0.4976244
27.093838,31,0.0001,1.3871812,0.4966054
27.588238,32,0.0001,1.3816122,0.49254444
27.53665,33,0.0001,1.3834753,0.4908172
27.454308,34,0.0001,1.3845643,0.4933638
28.167316,35,0.0001,1.384862,0.49324164
28.127748,36,0.0001,1.3825169,0.49080583
28.44527,37,0.0001,1.3803536,0.48935786
27.570189,38,0.0001,1.3823489,0.49074242
27.643192,39,0.0001,1.3878919,0.49454463
27.41987,40,0.0001,1.3834051,0.49336773
27.728403,41,0.0001,1.3844982,0.4927875
